date	sex	dose	alive	dead	total	age	population	exposition	active_substance	number_comp	genediv_comp	expo_comp	age_comp
09/09/20	male	0	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	12	0	12	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	3	8	11	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	0	7	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	2	7	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	8	0	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	10	0	10	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	9	0	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	4	0	4	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	0	0	0	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	2	6	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	2	6	8	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	6	0	6	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	7	0	7	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	4	1	5	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	9	0	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	3	9	12	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	1	9	10	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	15	0	15	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	14	0	14	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	8	1	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	14	0	14	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	8	1	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	4	9	13	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	5	8	13	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	12	0	12	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	9	0	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	9	1	10	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	16	2	18	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	8	5	13	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	5	7	12	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	2	10	12	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	14	0	14	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	13	0	13	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	13	0	13	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	12	4	16	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	11	0	11	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	3	6	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	2	7	9	24-48h	ste-foy	1h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	7	0	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	7	0	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	11	1	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	4	3	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	4	7	11	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	2	5	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	3	6	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	8	0	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	10	0	10	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	8	0	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	2	3	5	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	1	6	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	2	6	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	1	7	8	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	6	0	6	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	7	0	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	7	0	7	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.5	0	5	5	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	1	3	6	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	3	3	9	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	5	2	8	10	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	15	0	15	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	14	0	14	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	7	2	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	14	0	14	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	4	5	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	3	10	13	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	4	9	13	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	12	0	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	9	0	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	11	1	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	11	5	16	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	8	5	13	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	3	9	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	1	11	12	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0	14	0	14	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.1	12	1	13	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.25	12	1	13	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	0.5	10	6	16	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	1	6	5	11	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	3	2	7	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	female	5	2	7	9	24-48h	ste-foy	2h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0	7	0	7	24-48h	ste-foy	3h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.1	2	5	7	24-48h	ste-foy	3h	lambda-cyhalothrin	0	0	1	0
09/09/20	male	0.25	7	5	12	24-48h	ste-foy	3h	lambda-cyhalothrin	0	0	1	0
