date	sex	dose	alive	dead	total	age	population	exposition	active_substance	number_comp	genediv_comp	expo_comp	age_comp
25/05/16	female	0	20	0	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	18.87	19	1	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	37.73	17	4	21	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	75.46	5	15	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	150.93	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	301.85	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	female	603.7	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	0	14	0	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	18.87	13	0	13	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	37.73	4	10	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	75.46	1	13	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	150.93	0	14	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	301.85	0	14	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
25/05/16	male	603.7	0	14	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	0	23	0	23	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	18.87	19	3	22	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	37.73	19	4	23	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	75.46	5	19	24	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	150.93	1	22	23	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	301.85	0	23	23	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	female	603.7	0	23	23	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	0	19	0	19	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	18.87	13	7	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	37.73	5	15	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	75.46	0	19	19	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	150.93	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	301.85	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
01/06/16	male	603.7	0	20	20	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	0	16	0	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	9.43	13	3	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	18.87	14	1	15	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	37.73	8	7	15	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	75.46	7	8	15	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	150.93	1	13	14	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	female	301.85	0	16	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	male	0	15	1	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	male	9.43	15	1	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	male	18.87	6	10	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	male	37.73	2	11	13	24-48h	ste-foy	24h	phosmet	1	0	0	1
08/06/16	male	75.46	2	14	16	24-48h	ste-foy	24h	phosmet	1	0	0	1
